record_id,title,year,source,Final_decision,Final_reason_code,Final_notes,FullText_needed
R00145,Both aerobic exercise and resveratrol supplementation attenuate doxorubicin-induced cardiac injury in mice,2013.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00146,Prospective randomized trial of docetaxel versus doxorubicin in patients with metastatic breast cancer,1999.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00147,"Vaccination against Her-2/neu, with focus on peptide-based vaccines",2022.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00148,Preventing broken hearts in women with breast cancer: a concise review on chemotherapy-mediated cardiotoxicity,2024.0,Web of Science,EXCLUIR,TA4,Revisión (no ECA) (según T/A),NO
R00149,SALVAGE CHEMOTHERAPY OF BREAST-CANCER,1994.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00152,Trastuzumab in gastric cancer,2010.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00153,At the Intersection of Cardiology and Oncology: TGFβ as a Clinically Translatable Therapy for TNBC Treatment and as a Major Regulator of Post-Chemotherapy Cardiomyopathy,2022.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00155,Paclitaxel-ifosfamide for anthracycline-resistant advanced breast cancer,2002.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00156,Targeted Treatment of Sarcomas by Single Protein Encapsulated Doxorubicin with Undetectable Cardiotoxicity and Superior Efficacy,2025.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00157,Timing of cardio-oncological rehabilitation and cardiorespiratory fitness in patients receiving cardiotoxic chemotherapy: a longitudinal observational study,2024.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00161,Docetaxel plus cisplatin is effective for patients with metastatic breast cancer resistant to previous anthracycline treatment: a phase II clinical trial - art. no. 21,2005.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00162,A phase I pharmacokinetics study of lapatinib and tamoxifen in metastatic breast cancer (EORTC 10053 Lapatam study),2014.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00163,Proteomic analysis of the vitamin C effect on the doxorubicin cytotoxicity in the MCF-7 breast cancer cell line,2017.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00164,FDA Drug Approval Summary: Lapatinib in Combination with Capecitabine for Previously Treated Metastatic Breast Cancer That Overexpresses HER-2,2008.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00165,Anthracycline rechallenge using pegylated liposomal doxorubicin in patients with metastatic breast cancer: a pooled analysis using individual data from four prospective trials,2010.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00166,Doxorubicin delivery systems with an acetylacetone-based block in cholesterol-terminated copolymers: Diverse activity against estrogen-dependent and estrogen-independent breast cancer cells,2022.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00167,Effectiveness of exercise-based interventions in preventing cancer therapy-related cardiac dysfunction in patients with breast cancer: A systematic review and network meta-analysis,2025.0,Web of Science,DUDA,TA3,No se menciona antraciclina/anti-HER2 en T/A,SÍ
